id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime
0,牛首山文化旅游区,文化旅游区,31.909151,118.754905,08:30,17:30,145.0,2.0,2.5
1,夫子庙,文化旅游区,32.026937,118.795273,00:00,24:00,0.0,1.0,2.5
2,夫子庙秦淮风光带,文化旅游区,32.026208,118.795961,00:00,24:00,0.0,1.0,2.5
3,红山森林动物园,游乐园/体育娱乐,32.098132,118.808087,08:30,16:30,39.0,2.5,3.0
4,明孝陵,历史古迹,32.052625,118.841221,06:30,18:30,65.0,3.0,4.0
5,钟山风景名胜区,自然风光,32.069291,118.859406,00:00,24:00,0.0,0.5,1.0
6,南京博物院,博物馆/纪念馆,32.046791,118.831617,09:00,17:00,0.0,1.5,3.0
7,南京总统府,历史古迹,32.050564,118.803834,08:30,18:00,0.0,3.0,4.0
8,秦淮河画舫,文化旅游区,32.026295,118.796311,09:00,22:00,100.0,1.0,1.5
9,中山陵景区,红色景点,32.060275,118.86104,08:00,17:00,0.0,1.5,3.0
10,大报恩寺遗址景区,历史古迹,32.015453,118.789543,08:30,19:30,87.0,2.0,2.5
11,美龄宫,历史古迹,32.051265,118.85321,07:30,18:00,29.5,0.5,2.0
12,太平天国历史博物馆(瞻园),博物馆/纪念馆,32.027215,118.791411,08:30,17:00,27.0,2.0,3.5
13,六朝博物馆,博物馆/纪念馆,32.04937,118.805632,09:00,17:30,27.0,3.0,4.0
14,南京城墙,历史古迹,32.068991,118.802812,08:30,17:00,0.0,2.5,3.0
15,栖霞山,自然风光,32.163868,118.976369,07:00,17:00,47.0,2.0,3.0
16,中国科举博物馆(江南贡院),博物馆/纪念馆,32.026877,118.797466,09:00,21:00,45.0,1.5,3.0
17,阅江楼,历史古迹,32.099745,118.753125,08:00,17:30,35.0,2.5,4.0
18,玄武湖景区,公园,32.079619,118.803872,00:00,24:00,0.0,2.0,3.0
19,音乐台,公园,32.060741,118.86197,06:30,18:30,10.0,2.0,3.5
20,江宁织造博物馆,博物馆/纪念馆,32.048572,118.800496,09:00,17:30,26.0,1.5,2.0
21,南京欢乐谷,游乐园/体育娱乐,32.168791,119.003243,10:00,19:00,149.0,2.0,3.5
22,鸡鸣寺,历史古迹,32.067349,118.80157,07:30,17:00,0.0,1.0,2.0
23,侵华日军南京大屠杀遇难同胞纪念馆,博物馆/纪念馆,32.040975,118.749854,08:30,17:00,0.0,1.0,2.0
24,南京海底世界,游乐园/体育娱乐,32.05934,118.851569,08:30,17:00,108.0,2.0,3.5
25,雨花台,红色景点,32.00299,118.788107,08:00,17:00,0.0,1.5,3.0
26,南京中山植物园,公园,32.060434,118.837679,08:30,17:30,14.0,2.0,2.5
27,江苏园博园,公园,32.080921,119.010957,09:00,18:00,0.0,2.0,3.5
28,朝天宫,历史古迹,32.04053,118.781816,09:00,17:30,23.0,0.5,1.0
29,中华门瓮城,历史古迹,32.018862,118.788169,08:30,22:00,45.0,1.0,2.0
30,紫金山天文台,人文景观,32.071496,118.835738,08:30,17:30,14.0,1.5,3.0
31,金陵小城,文化旅游区,31.903066,118.729234,14:00,21:30,47.0,1.0,2.5
32,老门东历史街区,历史古迹,32.017998,118.794031,00:00,24:00,0.0,2.0,3.5
33,南京长江大桥,人文景观,32.123093,118.742575,00:00,24:00,0.0,1.0,2.5
34,夫子庙大成殿,历史古迹,32.026848,118.79529,09:00,22:00,28.0,0.5,1.0
35,南京明故宫遗址公园,历史古迹,32.047681,118.824416,06:00,20:00,0.0,1.0,2.5
36,灵谷景区,自然风光,32.061501,118.873765,06:30,18:30,32.0,1.5,3.0
37,南京1912街,商业街区,32.052309,118.803278,00:00,24:00,0.0,0.5,2.0
38,银杏湖乐园,游乐园/体育娱乐,31.810379,118.706238,09:30,17:00,210.0,0.5,1.0
39,秦淮河,文化旅游区,32.027162,118.798002,00:00,24:00,0.0,1.5,3.0
40,外秦淮河画舫,人文景观,32.016783,118.788779,09:00,18:00,45.0,0.5,1.5
41,南京奥体中心,游乐园/体育娱乐,32.014394,118.731262,12:00,22:00,0.0,1.0,2.0
42,愚园,公园,32.022021,118.78004,09:00,17:30,18.0,2.0,3.0
43,德基艺术博物馆,博物馆/纪念馆,32.051052,118.791008,10:00,22:00,0.0,0.5,1.5
44,白鹭洲公园,公园,32.024255,118.801512,06:00,20:00,0.0,2.5,4.0
45,达摩古洞,人文景观,32.136398,118.799837,09:00,17:30,28.0,1.0,2.5
46,紫清湖野生动物世界,游乐园/体育娱乐,32.06965,119.045848,09:00,17:00,180.0,1.0,1.5
47,鼓楼,历史古迹,32.064864,118.788485,08:00,17:00,0.0,2.0,2.5
48,新街口,商业街区,32.047056,118.790227,00:00,24:00,0.0,1.5,3.0
49,紫金山昆虫博物馆,博物馆/纪念馆,32.057799,118.850526,09:00,17:30,57.0,2.5,4.0
50,乌衣巷,历史古迹,32.025071,118.796243,00:00,24:00,0.0,0.5,1.0
51,金牛湖野生动物王国,游乐园/体育娱乐,32.494819,118.972332,09:00,17:00,155.0,2.0,2.5
52,华昌龙之谷奇幻新大陆,游乐园/体育娱乐,32.141054,118.688367,10:00,17:00,180.0,1.0,2.5
53,梅花山,自然风光,32.05678,118.845683,06:30,18:30,0.0,2.5,3.0
54,汤山紫清湖旅游区,游乐园/体育娱乐,32.069176,119.044273,00:00,24:00,118.0,0.5,1.0
55,天生桥景区,自然风光,31.65111,118.995806,08:00,17:00,25.0,0.5,1.5
56,WeLope紫金山探险公园,游乐园/体育娱乐,32.060552,118.865978,09:00,17:30,0.0,1.0,2.5
57,明孝陵博物馆,博物馆/纪念馆,32.050717,118.84975,09:00,17:00,0.0,2.0,3.0
58,中国秦淮灯会主会场（白鹭洲公园）,公园,32.024101,118.801927,09:00,22:00,0.0,0.5,1.5
59,南京玛雅海滩水公园,游乐园/体育娱乐,32.170529,119.009137,00:00,24:00,0.0,1.5,2.0
60,南京市民俗博物馆,博物馆/纪念馆,32.032443,118.788467,09:00,17:30,18.0,3.0,3.5
61,雨花台烈士陵园,红色景点,32.008865,118.785917,06:00,20:00,0.0,1.0,2.5
62,南京台城,历史古迹,32.068989,118.80282,08:30,17:00,30.0,0.5,2.0
63,外秦淮河游船（水木秦淮码头）,游乐园/体育娱乐,32.069133,118.755731,16:00,19:00,0.0,3.0,3.5
64,灵谷寺,历史古迹,32.061199,118.874542,08:00,16:00,0.0,2.0,3.0
65,珍珠泉风景区,自然风光,32.130647,118.669451,08:30,17:00,0.0,1.0,2.0
66,南京夫子庙步行街,商业街区,32.026106,118.795516,00:00,24:00,0.0,3.0,3.5
67,燕子矶公园,公园,32.152082,118.823975,08:30,17:30,9.0,2.0,3.5
68,颐和路公馆区,历史古迹,32.068715,118.776349,00:00,24:00,0.0,2.5,4.0
69,南京城墙博物馆,博物馆/纪念馆,32.018704,118.789236,09:00,17:00,0.0,0.5,1.0
70,不老村,文化旅游区,32.098005,118.616498,09:00,17:00,0.0,1.0,2.0
71,南京大学(鼓楼校区),大学校园,32.06143,118.786007,08:30,19:00,0.0,0.5,1.0
72,南京德云社,人文景观,32.017429,118.793938,19:30,22:00,0.0,2.0,3.0
73,古猿人洞,历史古迹,32.052591,119.042037,09:00,16:30,22.0,0.5,1.0
74,石湫影视基地,游乐园/体育娱乐,31.664412,118.906114,09:30,17:00,49.9,1.0,2.0
75,紫金山,自然风光,32.076103,118.859891,00:00,24:00,0.0,0.5,1.0
76,高淳老街,商业街区,31.324514,118.87645,08:30,17:00,0.0,1.5,2.0
77,南京眼-步行桥,人文景观,32.001868,118.708978,00:00,24:00,0.0,1.0,2.0
78,江苏科技馆,博物馆/纪念馆,32.071434,118.756895,00:00,24:00,0.0,0.5,1.0
79,佛顶宫,人文景观,31.918924,118.748185,08:30,17:30,0.0,3.0,3.5
80,龙出没穿越漂流,游乐园/体育娱乐,31.987917,118.930617,08:30,17:00,99.0,0.5,1.0
81,南京海昌海洋探索馆,游乐园/体育娱乐,32.027957,118.747019,10:00,18:00,88.0,2.0,3.0
82,南京国防园,红色景点,32.057966,118.761335,06:00,18:00,0.0,1.0,1.5
83,毗卢寺,历史古迹,32.049298,118.809793,09:00,16:30,0.0,2.5,4.0
84,莫愁湖公园,公园,32.042376,118.767697,06:00,21:00,35.0,0.5,1.5
85,长生鹿苑,游乐园/体育娱乐,32.050117,118.841188,08:30,17:00,0.0,3.0,3.5
86,江苏江宁汤山方山国家地质公园(汤山园区),公园,32.076308,119.036688,00:00,24:00,0.0,2.0,3.0
87,汤山矿坑公园,公园,32.044703,119.045561,00:00,24:00,0.0,0.5,1.0
88,南京龙出没乐园,游乐园/体育娱乐,31.987798,118.930765,08:30,17:00,0.0,2.5,3.0
89,东庐山观音寺,人文景观,31.647052,119.128787,00:00,24:00,0.0,2.5,4.0
90,南京玄武湖游船,游乐园/体育娱乐,32.071582,118.817197,09:00,17:00,0.0,2.5,4.0
91,佛顶寺,历史古迹,31.915573,118.756177,08:30,17:00,0.0,0.5,1.0
92,雨花石地质公园,公园,32.3749,119.043072,08:30,17:30,28.0,3.0,4.0
93,江苏大剧院,美术馆/艺术馆,32.018101,118.720441,09:00,22:30,0.0,0.5,1.0
94,老门东牌坊,历史古迹,32.01905,118.794348,00:00,24:00,0.0,1.5,2.0
95,梅园新村纪念馆,博物馆/纪念馆,32.048913,118.808153,09:00,17:30,0.0,2.5,4.0
96,汤山方山国家地质公园博物馆,博物馆/纪念馆,32.063467,119.045892,09:00,17:00,30.0,3.0,4.0
97,老山国家森林公园,公园,32.106567,118.607822,08:00,17:00,26.96,1.0,2.0
98,穿越南京,历史古迹,32.028739,118.791785,10:00,22:00,39.9,1.0,2.5
99,李香君故居,历史古迹,32.024936,118.795072,09:00,21:00,8.0,1.0,2.5
100,王导谢安纪念馆,博物馆/纪念馆,32.024977,118.796039,09:00,22:00,7.5,2.0,3.5
