id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime
0,成都大熊猫繁育研究基地,游乐园/体育娱乐,30.747146,104.145729,07:30,17:00,55.0,0.5,2.0
1,都江堰景区,自然风光,31.00793,103.617627,08:00,18:00,80.0,0.0,1.5
2,武侯祠,历史古迹,30.652927,104.054625,08:30,19:00,50.0,2.0,3.5
3,杜甫草堂,历史古迹,30.666527,104.034938,08:30,19:00,50.0,2.5,4.0
4,青城山,自然风光,30.911742,103.569195,08:30,17:30,80.0,0.5,1.0
5,金沙遗址博物馆,博物馆/纪念馆,30.687728,104.019188,09:00,18:00,66.0,2.5,3.0
6,成都博物馆,博物馆/纪念馆,30.663457,104.070226,09:00,17:00,0.0,1.0,1.5
7,蜀风雅韵川剧院,人文景观,30.666437,104.052651,09:00,21:30,120.0,0.0,1.0
8,都江堰中华大熊猫苑(原熊猫乐园),游乐园/体育娱乐,30.866632,103.583705,08:30,17:00,53.0,1.5,2.0
9,文殊坊,商业街区,30.678921,104.079826,00:00,24:00,0.0,0.0,1.0
10,四川省川剧院,人文景观,30.657672,104.075232,20:00,21:20,80.0,3.0,4.0
11,熊猫谷,自然风光,30.968148,103.596947,07:30,18:00,0.0,1.5,2.0
12,文殊院,历史古迹,30.681322,104.079,08:00,17:00,0.0,1.5,3.0
13,成都自然博物馆,博物馆/纪念馆,30.684748,104.150995,09:00,17:00,20.0,1.5,3.0
14,成都动物园,游乐园/体育娱乐,30.715302,104.112537,08:00,17:30,20.0,1.5,2.0
15,宽窄巷子,商业街区,30.669938,104.059763,00:00,24:00,0.0,1.0,2.0
16,成都欢乐谷,游乐园/体育娱乐,30.728966,104.040363,10:00,21:00,150.0,2.0,3.0
17,成都极地海洋公园,游乐园/体育娱乐,30.500235,104.080551,09:30,17:30,255.0,2.5,4.0
18,锦里古街,商业街区,30.651906,104.056257,00:00,24:00,0.0,1.0,2.0
19,四川博物院,博物馆/纪念馆,30.666735,104.040142,09:00,17:00,0.0,2.0,3.0
20,西岭雪山,自然风光,30.691077,103.195276,09:00,17:00,60.0,2.0,3.0
21,成都夜游锦江,人文景观,30.648064,104.089764,14:00,22:00,0.0,3.0,4.0
22,春熙路,商业街区,30.662751,104.084506,00:00,24:00,0.0,2.5,4.0
23,盖碗儿梨园•川剧变脸吐火表演剧院•非遗传承展示基地(天府广场店),人文景观,30.663969,104.073195,10:00,21:30,118.0,2.5,3.0
24,青城后山,自然风光,30.927146,103.487698,09:00,18:00,20.0,2.0,3.0
25,锦门·沉浸式民国景区,文化旅游区,30.785711,104.136014,00:00,24:00,0.0,0.0,1.0
26,梅花剧社·非遗川剧变脸,人文景观,30.659287,104.096228,09:30,21:00,38.0,3.0,4.0
27,东郊记忆,文化旅游区,30.674722,104.1296,00:00,24:00,0.0,2.5,4.0
28,川西竹海景区,自然风光,30.346695,103.324548,08:00,17:00,57.0,3.0,3.5
29,成都天台山旅游景区,自然风光,30.280143,103.125223,08:30,18:00,55.0,1.5,3.0
30,环球中心海洋乐园,游乐园/体育娱乐,30.57505,104.070778,10:00,18:00,165.0,0.0,1.5
31,成都环球中心,商业街区,30.574961,104.066151,10:00,22:00,0.0,2.0,2.5
32,成都融创乐园,游乐园/体育娱乐,30.960377,103.629269,00:00,24:00,69.9,2.5,3.0
33,成都融创文旅城,游乐园/体育娱乐,30.96463,103.623171,00:00,24:00,99.0,2.0,2.5
34,黄龙溪,历史古迹,30.324119,103.976709,00:00,24:00,0.0,1.5,3.0
35,洛带古镇,历史古迹,30.642898,104.332232,00:00,24:00,0.0,2.5,3.0
36,四川科技馆,博物馆/纪念馆,30.666088,104.072224,09:00,17:00,0.0,1.0,1.5
37,天府广场,商业街区,30.663443,104.072424,00:00,24:00,0.0,3.0,3.5
38,成都市人民公园,公园,30.663607,104.063684,06:30,22:00,0.0,0.5,1.0
39,成都融创水世界,游乐园/体育娱乐,30.958704,103.626071,10:00,18:00,99.0,3.0,4.0
40,四川建川博物馆聚落,博物馆/纪念馆,30.505602,103.625958,09:00,17:30,68.0,1.0,2.0
41,安仁古镇,历史古迹,30.513598,103.626007,00:00,24:00,0.0,0.0,1.0
42,成都热雪奇迹,游乐园/体育娱乐,30.958874,103.626574,10:00,20:00,128.0,0.5,1.0
43,音乐百花谷,游乐园/体育娱乐,30.772131,104.169104,09:00,18:00,0.0,2.0,3.5
44,刘氏庄园博物馆,博物馆/纪念馆,30.510271,103.632788,09:00,17:00,20.0,2.5,3.0
