id,name,hotelname_en,featurehoteltype,lat,lon,price,numbed
0,北京天安门王府井漫心酒店,Beijing Tiananmenwangfujing Manxin Hotel,机器人服务,39.915718,116.408128,689,1
1,北京京都信苑饭店,Beijing Xinyuan Hotel,泳池,39.898089,116.31215,637,2
2,北京北投台湖演艺酒店,Beijing Beitou Taihu Performing Arts Hotel,免费停车,39.830898,116.62203,740,2
3,桔子水晶北京王府井大街酒店,Crystal Orange Beijing Wangfujing Street Hotel,机器人服务,39.91525,116.410422,679,1
4,赛特饭店,Scitech Hotel,泳池,39.906667,116.441675,678,1
5,嘉年华酒店(北京亦庄经济开发区店),Carnival Hotel (Beijing Yizhuang Economic Development Zone),亲子主题房,39.807812,116.52796,335,1
6,北京大兴国际机场木棉花酒店,Mumian Beijing Daxing International Airport,泳池,39.516491,116.415634,729,1
7,北京龙熙维景国际会议中心,Grand Metropark Longxi Conference Center Beijing,温泉,39.624784,116.302285,639,2
8,北京三元桥CitiGO欢阁酒店,CitiGO Hotel Sanyuanqiao Beijing,机器人服务,39.961257,116.454867,595,1
9,桔子水晶北京国贸合生汇酒店,Crystal Orange Beijing Internatio管家服务nal Trade Heshenghui Hotel,机器人服务,39.894652,116.47704,523,1
10,北京德胜门华宇假日酒店,Holiday Inn Beijing Deshengmen,健身室,39.957588,116.378635,718,2
11,北京中航泊悦酒店,Boyue Beijing Hotel,桑拿,39.95719,116.463577,688,1
12,北京三元桥亚朵X酒店,Beijing Sanyuanqiao Atour X Hotel,免费停车,39.953753,116.451347,728,1
13,北京天坛漫心酒店,Beijing Tiantan Manxin Hotel,免费停车,39.876257,116.421599,628,1
14,北京广安门维景国际大酒店,Guanganmen Grand Metropark Hotel Beijing,免费停车,39.888884,116.354755,730,2
15,秋果酒店智选(北京朝阳高铁站东坝中路店),Qiuguo Hotel Smart Choice (Beijing Chaoyang High-speed Railway Station Dongba Middle Road),家庭房,39.949285,116.55619,379,1
16,秋果酒店(北京复兴门中央音乐学院店),TRUE GO HOTEL Fuxingmen Central Conservatory of Music Store,免费停车,39.898434,116.347467,529,1
17,北京亦庄智选假日酒店,Holiday Inn Express (Beijing Yizhuang),免费停车,39.788721,116.513926,617,2
18,桔子水晶北京南站木樨园酒店,Crystal  Orange Beijing South Railway Station Muxiyuan Hotel,免费停车,39.855894,116.406984,517,1
19,北京三里屯国安亚朵S酒店,Beijing Sanlitun Guo'an Atour S Hotel,免费停车,39.922442,116.453113,702,1
20,朗丽兹酒店(稻香湖路地铁站中关村环保园店),Lang Liz Hotel (Daoxianghu Road Subway Station Zhongguancun Environmental Protection Park),停车场,40.06545,116.179739,522,2
21,桔子水晶北京安贞酒店,Crystal Orange Beijing Anzhen Hotel,免费停车,39.968572,116.412118,643,1
22,秋果S酒店·1924(北京五棵松解放军301总医院店),Qiuguo S Hotel·1924 (Beijing Wukesong PLA 301 General Hospital),免费停车,39.905825,116.270873,499,1
23,北京朝阳路大悦城亚朵酒店,"Atour Hotel (Joy City, Chaoyang Road, Beijing)",免费停车,39.919076,116.513535,658,1
24,秋果酒店(北京学清路农业大学店),TRUE GO Hotel (Beijing Xueqing Road Agricultural University Branch),管家服务,40.010721,116.351104,528,1
25,北京西站南广场亚朵酒店,Atour Hotel (Beijing West Railway Station South Square),免费停车,39.891613,116.322925,666,1
26,桔子水晶北京天坛酒店,Crystal  Orange Beijing Temple of Heaven Hotel,管家服务,39.863727,116.413599,563,1
27,北京新侨饭店,Beijing Xinqiao Hotel,机器人服务,39.901688,116.416884,580,2
28,秋果酒店(北京三里屯工体店),Qiuguo Hotel (Beijing Sanlitun Gongti Branch),机器人服务,39.930665,116.456526,499,1
29,北京丰大国际大酒店,Fengda International Hotel,泳池,39.795921,116.508729,568,1
30,北京朝阳北路长楹天街亚朵酒店,"Atour Hotel, Changyingtian Street, Chaoyang North Road, Beijing",免费停车,39.921525,116.590835,605,1
31,宝欐酒店(北京协和医院东单院区店),Bolly Wood Hotel,管家服务,39.916376,116.417544,682,2
32,北京亦庄新城马驹桥亚朵酒店,"Atour Hotel (Majuqiao, Yizhuang Xincheng)",免费停车,39.733535,116.545619,544,1
33,北京天安门广场CitiGO欢阁酒店,CitiGO Hotel Beijing Tian'anmen Square,拍照出片,39.892335,116.398476,581,1
34,北京花乡天坛医院亚朵酒店,Atour Hotel Beiijng Huaxiang New Temple of Heaven,免费停车,39.835921,116.320016,544,2
35,北京燕莎三元桥亚朵酒店,Atour Hotel (Beijing Yansha Sanyuanqiao),洗衣房,39.95433,116.461666,693,1
36,北京总部基地亚朵酒店,Artour Hotel,机器人服务,39.826003,116.287827,614,1
37,桔子水晶北京丽泽商务区天坛医院酒店,Crystal Orange Beijing Lize Business District Tiantan Hospital Hotel,免费停车,39.842202,116.327483,542,1
38,北京银保建国酒店,Yinbao Jianguo Hotel,泳池,39.943367,116.184595,590,2
39,北京后海鼓楼四合院漫心府,Beijing Houhai Gulou courtyard MANXIN Hotel,智能客控,39.947828,116.392893,815,1
40,北京临空皇冠假日酒店,Crowne Plaza Beijing International Airport,泳池,40.063836,116.556456,557,2
41,北京福庭酒店,Livefortuna Hotel,免费停车,39.916277,116.438176,655,2
42,北京南站右安门桥亚朵酒店,Atour Hotel Youanmenqiao Beijing South Railway Station,家庭房,39.869178,116.367299,702,1
43,北京东方茂酒店(簋街北新桥地铁站店),Beijing Oriental Mao Hotel (Gujie Beixinqiao Subway Station),管家服务,39.941345,116.411923,727,1
44,秋果酒店(北京望京科技园店),True Go Hotel (Beijing Wangjing Science Park store),免费停车,40.008296,116.477856,679,1
45,北京北辰汇园酒店公寓(贵宾楼),North Star Huiyuan Apartment Hotel (VIP building),酒店公寓,39.992771,116.406112,590,1
46,北京CBD国贸桥亚朵X酒店,Beijing CBD Guomao Bridge Yaduo X Hotel,免费停车,39.905022,116.466549,702,1
47,建国铂萃酒店(北京环球度假区店),Jianguo baicui Hotel (Beijing Universal resort),免费停车,39.864021,116.666418,483,1
48,THE HUMBLE 厚居酒店(北京国家会议中心鸟巢店),The Humble Hotel,免费停车,39.999064,116.411535,514,2
49,北京国贸CBD亚朵S酒店xFunsCenter,Beijing International Trade CBD Yaduo s Hotel xfunscenter,机器人服务,39.915287,116.478263,588,2
50,北京安贞地坛亚朵酒店,Atour Hotel Beijing Anzhenditan,管家服务,39.964259,116.40721,702,1
51,北京朝阳公园亚朵酒店,Atour Hotel (Beijing Chaoyang Park),免费停车,39.921441,116.494674,746,1
52,北京长白山国际酒店,Changbaishan International Hotel,茶室,39.984832,116.410305,503,2
53,秋果酒店(北京西单金融街店),Qiuguo Hotel (Beijing Xidan Financial Street Fuwai Hospital),机器人服务,39.926261,116.37292,549,1
54,北京东方安颐国际酒店,Orient-Anyi international Hotel,桑拿,39.809789,116.095907,751,2
55,北京朝阳门亚朵酒店,Atour Hotel,免费停车,39.915889,116.436186,865,1
56,北京宝欐酒店(国贸SKP店),Beijing BoLLy Wood  Hotel (Guomao SKP Store),SPA,39.912758,116.477598,588,1
57,北京中关村理工大学漫心酒店,"Manxin Hotel, Beijing Zhongguancun University of Technology",洗衣房,39.95675,116.316845,643,1
58,北京和平里对外经贸大学亚朵酒店,Atour Hotel  Hepingli&University of International Business Beijing,免费停车,39.978811,116.424332,808,2
