id,name,lat,lon,price,cuisine,opentime,endtime,recommendedfood
0,百分之五洋房餐厅,30.5815702,114.2998943,298.0,融合菜,11:30,21:00,"十四天干式熟成绿头鸭,热辣滚烫的鮰鱼, 咖喱牡丹虾配油条,东风螺茶碗蒸,酥香黄牛肉"
1,青禾餐厅(东湖店),30.5842434,114.3842047,306.0,湖北菜,10:30,21:00,"古法南非溏心鲍,青禾招牌翅,金蒜焗帝王蟹,鲍汁扣辽参,玻璃脆皮乳鸽"
2,武汉光谷希尔顿酒店·御玺中餐厅,30.5510527,114.4906558,218.0,粤菜,11:30,22:00,"鸡汤冲浪活辽参,拿破仑酥片皮鸡,冰镇五彩夏荷鲜,百花藕苗龙利鱼 ,脆皮银鱼炸藕海,雪莲子瑶柱炖花胶,松露百合龙虾球,香椿苗杏香虾球,冰糖葫芦鹅肝冻,春芽菜白灼海肠"
3,武汉光谷凯悦酒店·当米亚诺意大利餐厅,30.5071278,114.4232879,322.0,西餐,11:30,21:30,"提拉米苏,澳洲肉眼牛排配土豆,凤梨大虾牛油果披萨,碳烤芦笋,凯撒沙拉,鳕鱼"
4,粗茶淡饭·壹号餐房,30.5883389,114.3031979,398.0,创意菜,11:30,21:00,"佛跳墙,波斯顿龙虾,银丝卷,石锅辽参,桂花糖藕,樱桃鹅肝"
5,武汉香格里拉大酒店·香宫中餐厅,30.6027797,114.282845,194.0,粤菜,11:30,21:00, 
6,喜舍(江滩店),30.5861811,114.3021129,317.0,创意菜,11:30,21:00,"莲子燕麦烧海参,文火和牛扣野鲍,招牌红汤甲鱼配油条,富锶泉水炖活海参,青苹果红酒鹅肝,巴沙酱小青龙,火焰香茅焗肋眼肉,珍藏白兰地熟虾,鲜虾汤酸萝卜波龙烩豆面,黑松露花菜梗"
7,水樂棠江景餐厅(绿地江滩店),30.5854395,114.3215082,297.0,湖北菜,10:30,21:00,"茅台生焖东海大黄鱼,十年陈皮焗鸡,牛油果酸奶燕窝,水乐棠招牌御膳鸭"
8,粗茶淡饭·汉口公馆(循礼门店),30.5874858,114.2831614,122.0,湖北菜,11:30,21:00,"香煎鲈鱼,鲜花椒牛蛙,小米排骨,豆腐圆子,三鲜豆皮,麻酱凤尾"
9,虾皇(虎泉店),30.5091559,114.3745421,129.0,小吃,10:00,24:00,"油焖大虾,蒜蓉虾,麻辣虾球,特色爆炒花甲,香蕉飞饼,凉拌毛豆"
