id,name,hotelname_en,featurehoteltype,lat,lon,price,numbed
0,广州番禺万博中心舒与酒店,Guangzhou Panyu Wanbo Center Skanhem Hotel,影音房,23.009654,113.346259,493,1
1,广州天河体育中心美居酒店,Guangzhou Tianhe Sports Center Mercure Hotel,管家服务,23.142072,113.328613,474,1
2,广州东站城际酒店,Intercity Guangzhou East Railway Station Hotel,停车场,23.151183,113.32869,551,1
3,广州建国酒店,"Jianguo Hotel, Guangzhou",泳池,23.147862,113.326259,502,1
4,广州北京路天字码头亚朵S酒店,"Atour S Hotel, Beijing Road Tianzi Wharf, Guangzhou",免费停车,23.115333,113.271483,561,1
5,宜致酒店(广州长隆野生动物世界店),Yizhi Hotel (Guangzhou Chimelong Wildlife World),家庭房,23.0087,113.308714,319,1
6,广州珠江太古仓亚朵S酒店,Atour S Hotel Guangzhou Zhujiang Taigucang,免费停车,23.079959,113.266346,533,1
7,广州粤大金融城国际酒店,Yueda Financial City International Hotel,亲子主题房,23.119562,113.37278,498,2
8,广州天河太古汇喆啡锐品酒店,Guangzhou Tianhe Taikoohui - Coffee Rupin Hotel,免费停车,23.135573,113.340341,566,1
9,美豪丽致酒店(广州东站店),Mehood LIZ Hotel(Guangzhou East Station Store),管家服务,23.150977,113.321899,535,1
10,广州白云国际机场T1航站楼美居酒店,Mercure Hotel Guangzhou Baiyun International Airport Terminal T1,免费停车,23.42671,113.312363,387,2
11,广州天河珠江新城澳斯特精选酒店,"Ausotel Smart Hotel Guangzhou Zhujiang New Town , Canton Fair Free Shuttle",免费停车,23.12787,113.343098,438,1
12,城迹酒店(广州正佳太古汇石牌桥地铁站店),City Join Hotel (Guangzhou Sports Center Shipaiqiao Metro Station),免费停车,23.131209,113.331002,399,1
13,美丽豪酒店(广州番禺店),Merlinhod Hotel,管家服务,22.951335,113.427748,468,1
14,宜致酒店(广州珠江新城华师地铁站店),Y.Zhi Hotel,免费停车,23.136252,113.349083,333,1
15,广州汇华希尔顿逸林酒店,DoubleTree by Hilton Guangzhou-Science City,泳池,23.1813,113.474508,561,2
16,宜致酒店(广州珠江新城岗顶地铁站店),Y.ZHI HOTEL,免费停车,23.131091,113.343344,329,1
17,广州云岭湖酒店,VLAMHOO HOTEL,日光浴场,23.547368,113.570676,538,2
18,广州高铁南站亚朵酒店,Guangzhou  Railway South Station Atour Hotel,免费停车,22.985382,113.280401,491,1
19,枫林国际公寓(广州南沙客运港天后宫店),Fenglin International Apartment (Guangzhou Nansha Zhujiang Tianhougong Branch),免费停车,22.742836,113.58452,291,1
20,广州景阁酒店(白云国际机场T2航站楼店),Guangzhou Jingge Hotel,免费停车,23.433344,113.315728,287,1
21,广州江泰路地铁站亚朵酒店,Atour Hotel (Guangzhou Jiangtai Road Metro Station),免费停车,23.083093,113.278927,596,2
22,广州增城富力万达嘉华酒店(增城万达广场店),Wanda Realm Zengcheng Guangzhou,亲子主题房,23.275698,113.813424,415,2
23,美豪雅致酒店(广州白云机场T2航站楼店),Mehood Elegant Hotel (Guangzhou Baiyun Airport T2 Terminal),家庭房,23.433538,113.302832,508,1
24,麗枫(广州南站汉溪长隆站店),"Lavande Hotel (Guangzhou South Railway Station, Hanxi Changlong Station)",免费停车,22.970162,113.322218,356,1
25,广州南站丽芮酒店,Radisson RED Guang Zhou South Railway Station,免费停车,22.987556,113.27554,506,1
26,广州荔湾滘口地铁站亚朵酒店,"Atour Hotel Jiaokou subway station, Liwan, Guangzhou",免费停车,23.115958,113.208511,473,1
27,广州增城碧桂园希尔顿逸林酒店(增城万达广场店),DoubleTree by Hilton Guangzhou Zengcheng,泳池,23.274347,113.814148,482,1
28,广州嘉逸国际酒店,Grand International Hotel,泳池,23.140879,113.334978,489,2
29,广州大道天河体育中心亚朵酒店,Atour Hotel Guangzhou Avenue Tianhe Sports Center,免费停车,23.136141,113.315758,503,2
30,广州增城保利皇冠假日酒店(新塘高铁站店),Crowne Plaza Guangzhou Zengcheng,桑拿,23.108017,113.628155,459,1
31,广州白云国际会议中心越秀源宿酒店,Element Guangzhou Baiyun,泳池,23.187596,113.272923,594,1
32,CityNote希诺酒店(广州太古汇石牌桥地铁站店),CityNote Hotel (Guangzhou Taikoo Hui Shipaiqiao Metro Station),管家服务,23.133987,113.33021,498,1
