id,name,lat,lon,price,cuisine,opentime,endtime,recommendedfood
0,南京大牌档(夫子庙平江府店),32.0208996,118.7926679,74.0,江浙菜,11:00,22:00,"招牌盐水鸭,古法糖芋苗,酒酿赤豆元宵,清炖狮子头,江米扣肉,鸭血粉丝汤"
1,南京金陵饭店·梅苑,32.0425787,118.7828017,423.0,江浙菜,11:30,21:30,"驰名软兜,金陵盐水鸭,大煮干丝,松鼠鳜鱼,清炒虾仁,蟹粉狮子头,金陵方糕"
2,李记清真馆(打钉巷店),32.0291914,118.779762,29.0,清真菜,05:30,19:30,"牛肉锅贴,牛肉馄饨,牛肉煎包,牛肉小笼包,牛杂汤,阳春面,牛肉粉丝汤"
3,南京香格里拉大酒店·江南灶,32.0782506,118.7828654,334.0,江浙菜,11:30,21:30,"慈城年糕烧大黄鱼,蜜汁小番茄,文思豆腐羹,淮扬狮子头,传统熏鱼,淮扬小笼包,江南灶红烧肉,扬州炒饭,佛跳墙,文思豆腐"
4,南京紫峰绿地洲际酒店·云端餐厅,32.0608006,118.7831487,736.0,西餐,14:00,24:00,"法式煎鹅肝,波士顿龙虾,煎虎虾,蘑菇浓汤"
5,南京苏宁钟山国际高尔夫酒店·紫金阁中餐厅,32.0788597,118.8774732,368.0,江浙菜,11:30,21:30,"松露粉文火牛肉,九层塔咖喱煲大虾,意大利黑醋汁松板肉,蟹粉鱼脑,金陵脆皮烧肉,江南虾籽面"
6,金鹰世界G酒店·品煨江南,32.0243721,118.7408323,470.0,江浙菜,11:30,21:30,"陈皮私房小牛肉,砂锅鱼头佛跳墙,年糕东海大黄鱼,慈糍粑,淮安软兜,宫保明虾球"
7,民国红公馆(老门东店),32.0128427,118.7882943,295.0,江浙菜,11:00,22:00,"蒋宴香煎牛眼粒,金陵至味红烧肉,金陵盐水鸭,芝士鲜虾藕夹,雨花石汤圆,美龄粥"
8,竹里馆·淮扬菜(老门东店),32.0121278,118.7882894,125.0,江浙菜,09:30,21:00,"竹里三杯鸡,韭香溧阳山芋粉,金银蛋浸钵钵菜,荔浦芋头蒸肉,招牌清炖狮子头,竹里神仙鸡"
9,狮王府(新街口友谊店),32.0414781,118.7821181,141.0,江浙菜,11:00,21:00,"招牌阳春面,千盐水乳鸽（半只）,南京盐水鸭,王府包"
