attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Osaka,Osaka Castle Tower Experience,"473-1 Kita-Honganji-machi, Chuo Ward, Osaka",135.43585,34.707292,09:00-17:30,1.44,"Osaka Castle Tower Experience is a historic site in Osaka, Japan, popular for its memorable experiences. Entry fee is 1.44 USD. Recommended visit: 2 hours. Discover Osaka Castle Tower Experience, a notable historic site in Osaka, Japan, ideal for visitors. Open 09:00-17:30, entry 1.44 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'Luxury Travelers']",Japan
2,Osaka,Osaka Future Park,"525 Shinsaibashi Street, Osaka",135.497859,34.596263,09:00-17:00,10.06,"Osaka Future Park is a theme park in Osaka, Japan, popular for its memorable experiences. Entry fee is 10.06 USD. Recommended visit: 6 hours. Discover Osaka Future Park, a notable theme park in Osaka, Japan, ideal for visitors. Open 09:00-17:00, entry 10.06 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,6 hours,3.75,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'Photography']",Japan
3,Osaka,Osaka Kansai Cultural Hub,"468 Shinsaibashi Dori, Chuo Ward, Osaka",135.502436,34.716652,09:00-18:00,38.89,"Osaka Kansai Cultural Hub is a museum in Osaka, Japan, popular for its unique collections and exhibitions. Entry fee is 38.89 USD. Recommended visit: 2 hours. Discover Osaka Kansai Cultural Hub, a renowned museum in Osaka, Japan, ideal for art lovers. Open 09:00-18:00, entry 38.89 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'high speed WiFi']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Pet Owners', 'Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers']",Japan
4,Osaka,Osaka Skyline Observation Tower,"127 Nakanoshima-dori, Kita-ku, Osaka",135.503386,34.708602,09:00-21:00,10.45,"Osaka Skyline Observation Tower is a museum in Osaka, Japan, popular for its unique collections and exhibitions. Entry fee is 10.45 USD. Recommended visit: 2 hours. Discover Osaka Skyline Observation Tower, a renowned museum in Osaka, Japan, ideal for art lovers. Open 09:00-21:00, entry 10.45 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'food markets', 'tasting tours', 'parking', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Solo Woman Travelers', 'foodie']",Japan
5,Osaka,Umeda Sky Tower & Kuchu Teien Viewing Deck,"522-1-1 Nakanoshima, Chuo Ward, Osaka",135.530055,34.637677,09:00-22:00,21.84,"Umeda Sky Tower & Kuchu Teien Viewing Deck is a historic site in Osaka, Japan, popular for its memorable experiences. Entry fee is 21.84 USD. Recommended visit: 2 hours. Discover Umeda Sky Tower & Kuchu Teien Viewing Deck, a notable historic site in Osaka, Japan, ideal for visitors. Open 09:00-22:00, entry 21.84 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Pet Owners', 'Disabled Travelers', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",Japan
6,Osaka,Haruka Tower Skydeck,"874-1-1 Namba, Chuo Ward, Osaka",135.61116,34.659569,09:00-21:00,16.07,"Haruka Tower Skydeck is a museum in Osaka, Japan, popular for its unique collections and exhibitions. Entry fee is 16.07 USD. Recommended visit: 2 hours. Discover Haruka Tower Skydeck, a renowned museum in Osaka, Japan, ideal for art lovers. Open 09:00-21:00, entry 16.07 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'family restrooms', 'nursing facilities', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Road trip', 'Elderly Travelers', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Photography']",Japan
7,Osaka,Osaka Adventure Pass 1-day/2-day,"960 Shinsaibashi Dori, Chuo Ward, Osaka",135.571249,34.710184,09:00-18:00,3.9,"Osaka Adventure Pass 1-day/2-day is a theme park in Osaka, Japan, popular for its memorable experiences. Entry fee is 3.9 USD. Recommended visit: 6 hours. Discover Osaka Adventure Pass 1-day/2-day, a notable theme park in Osaka, Japan, ideal for visitors. Open 09:00-18:00, entry 3.9 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,6 hours,3.75,"['Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers', 'couples trip', 'foodie', 'Photography']",Japan
8,Osaka,Osaka Explore Pass,"425 Nishi-Umeda Street, Chuo Ward, Osaka",135.383197,34.600187,09:00-18:00,19.55,"Osaka Explore Pass is a theme park in Osaka, Japan, popular for its memorable experiences. Entry fee is 19.55 USD. Recommended visit: 7 hours. Discover Osaka Explore Pass, a notable theme park in Osaka, Japan, ideal for visitors. Open 09:00-18:00, entry 19.55 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'high speed WiFi']",Theme Park/Amusement Park,7 hours,3.75,"['Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'couples trip', 'Luxury Travelers']",Japan
9,Osaka,Osaka Minami River Cruise Experience,"134 Shinsaibashi Dōtonbori, Osaka",135.395454,34.79314,10:00-22:00,22.93,"Osaka Minami River Cruise Experience is a nature in Osaka, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.93 USD. Recommended visit: 3 hours. Discover Osaka Minami River Cruise Experience, a peaceful nature in Osaka, Japan, ideal for nature lovers. Open 10:00-22:00, entry 22.93 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Nightlife Enthusiast', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",Japan
10,Osaka,LEGO World Osaka Hub,"328-12-8 Nishi-Honganji, Osaka",135.39116,34.706851,10:00-20:00,12.28,"LEGO World Osaka Hub is a theme park in Osaka, Japan, popular for its memorable experiences. Entry fee is 12.28 USD. Recommended visit: 7 hours. Discover LEGO World Osaka Hub, a notable theme park in Osaka, Japan, ideal for visitors. Open 10:00-20:00, entry 12.28 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,7 hours,3.75,"['Family with children', 'Road trip', 'Disabled Travelers', 'Solo Woman Travelers', 'foodie', 'Photography']",Japan
