attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,New York,United States,Nature/Scenery/Park,Green Haven Sanctuary,"Green Haven Sanctuary is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Green Haven Sanctuary, a peaceful nature in New York, United States, ideal for nature lovers. Open 09:30-17:00, entry 8.65 USD.",8.65,09:30-17:00,3 hours,3.7,"255 Sakura Street, Shibuya Ward, New York",40.68848623478205,-73.77318256014217,"['couples trip', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
2,New York,United States,Nature/Scenery/Park,Greenway Grove Adventure,"Greenway Grove Adventure is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Greenway Grove Adventure, a peaceful nature in New York, United States, ideal for nature lovers. Open 09:00-17:30, entry 10.5 USD.",10.5,09:00-17:30,3 hours,3.7,"496 Shiroiwa Street, New York",40.83751400575116,-73.92483603617886,"['with pets', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
3,New York,United States,Nature/Scenery/Park,Harbor Haven Sanctuary,"Harbor Haven Sanctuary is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Harbor Haven Sanctuary, a peaceful nature in New York, United States, ideal for nature lovers. Open 09:00-17:30, entry 6.17 USD.",6.17,09:00-17:30,3 hours,3.7,"938 Beach Road, New York",40.702762761503344,-73.91128173713446,"['elderly travelers', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'wheelchair rental', 'benches/rest areas', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
4,New York,United States,Nature/Scenery/Park,Harbor Skywalk Trail,"Harbor Skywalk Trail is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 22.61 USD. Recommended visit: 3 hours. Discover Harbor Skywalk Trail, a peaceful nature in New York, United States, ideal for nature lovers. Open 08:30-17:30, entry 22.61 USD.",22.61,08:30-17:30,3 hours,3.7,"805 Sukhumvit Road, New York",40.55103842760749,-74.16034600081449,"['couples trip', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'parking']"
5,New York,United States,Nature/Scenery/Park,Moonlit Bay Excursion,"Moonlit Bay Excursion is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Moonlit Bay Excursion, a peaceful nature in New York, United States, ideal for nature lovers. Open 08:30-17:30, entry 1.4 USD.",1.4,08:30-17:30,3 hours,3.7,"492 Seaside Promenade, New York",40.75070046818541,-73.98183685132037,['with children'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities']"
6,New York,United States,Nature/Scenery/Park,Verdant Heights Reserve,"Verdant Heights Reserve is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 4.12 USD. Recommended visit: 3 hours. Discover Verdant Heights Reserve, a peaceful nature in New York, United States, ideal for nature lovers. Open 08:30-17:00, entry 4.12 USD.",4.12,08:30-17:00,3 hours,3.7,"No. 456, Cultural Street, New York",40.75540891956528,-73.71301228235428,"['nightlife enthusiast', 'with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
7,New York,United States,Nature/Scenery/Park,Verdant Vista Culinary Haven,"Verdant Vista Culinary Haven is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Verdant Vista Culinary Haven, a peaceful nature in New York, United States, ideal for nature lovers. Open 09:00-17:30, entry 17.5 USD.",17.5,09:00-17:30,3 hours,3.7,"327 Siam Road, New York",40.54025709060223,-74.1477519072487,"['fast-paced budget travel', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
8,New York,United States,Nature/Scenery/Park,Harbor Heights Express Pass + Brooklyn Cliffs Skyline Cable + Greenpoint Garden Access,"Harbor Heights Express Pass + Brooklyn Cliffs Skyline Cable + Greenpoint Garden Access is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Harbor Heights Express Pass + Brooklyn Cliffs Skyline Cable + Greenpoint Garden Access, a peaceful nature in New York, United States, ideal for nature lovers. Open 08:30-17:30, entry 6.39 USD.",6.39,08:30-17:30,3 hours,3.7,"440 Gwangalli-ro, New York",40.869871290672826,-73.86744185125383,"['with pets', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,New York,United States,Nature/Scenery/Park,Horizon Grove,"Horizon Grove is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Horizon Grove, a peaceful nature in New York, United States, ideal for nature lovers. Open 08:30-17:30, entry 5.15 USD.",5.15,08:30-17:30,3 hours,3.7,"No. 456, Yuyuantan Park Road, New York",40.7875361972394,-73.8825662714058,"['with children', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'High speed WiFi']"
10,New York,United States,Nature/Scenery/Park,Green Haven Explorer's Grove,"Green Haven Explorer's Grove is a nature in New York, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Green Haven Explorer's Grove, a peaceful nature in New York, United States, ideal for nature lovers. Open 09:00-21:00, entry 12.32 USD.",12.32,09:00-21:00,3 hours,3.7,"630 Shibuya Crossing Street, Shibuya Ward, New York",40.596259806165975,-73.93354748374269,"['nightlife enthusiast', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'parking']"
