attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Sarasota,United States,Nature/Scenery/Park,Sarasota Bayland Reserve,"Sarasota Bayland Reserve is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.4 USD. Recommended visit: 3 hours. Discover Sarasota Bayland Reserve, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 10:00-18:00, entry 14.4 USD.",14.4,10:00-18:00,3 hours,3.7,"113 Seaside Promenade, Sarasota",27.331417530982822,-82.49017473308673,['disabled traveler'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
2,Sarasota,United States,Nature/Scenery/Park,Sunrise Bayland Trailhead,"Sunrise Bayland Trailhead is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Sunrise Bayland Trailhead, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:00, entry 26.32 USD.",26.32,08:30-17:00,3 hours,3.7,"322 Shibuya Scramble Street, Shibuya Ward, Sarasota",27.319214419052408,-82.5182800307149,"['photography', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
3,Sarasota,United States,Nature/Scenery/Park,Sunrise Hollow Sanctuary,"Sunrise Hollow Sanctuary is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Sunrise Hollow Sanctuary, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:00, entry 8.65 USD.",8.65,08:30-17:00,3 hours,3.7,"363 Gwanghwamun Street, Jongno-gu, Sarasota",27.35263161731478,-82.540402765594,"['couples trip', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
4,Sarasota,United States,Nature/Scenery/Park,Sarasota Baywalk Discovery,"Sarasota Baywalk Discovery is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.15 USD. Recommended visit: 3 hours. Discover Sarasota Baywalk Discovery, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:00, entry 5.15 USD.",5.15,08:30-17:00,3 hours,3.7,"708 Shuri Street, Naha City, Sarasota",27.36185960380022,-82.53577783680682,"['nightlife enthusiast', 'foodie', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'High speed WiFi']"
5,Sarasota,United States,Nature/Scenery/Park,Gulf Horizon Drift,"Gulf Horizon Drift is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 37.95 USD. Recommended visit: 3 hours. Discover Gulf Horizon Drift, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 09:00-21:00, entry 37.95 USD.",37.95,09:00-21:00,3 hours,3.7,"507 Sukhumvit Road, Khlong Toei District, Sarasota",27.336308868690203,-82.51179053685627,"['with pets', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
6,Sarasota,United States,Nature/Scenery/Park,Sunrise Bluffs Preserve,"Sunrise Bluffs Preserve is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Sunrise Bluffs Preserve, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 09:00-18:00, entry 31.52 USD.",31.52,09:00-18:00,3 hours,3.7,"No. 88, Xinghai Road, Sarasota",27.307433107375267,-82.53965691921367,"['solo women', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
7,Sarasota,United States,Nature/Scenery/Park,Emerald Ridge Culinary Trail,"Emerald Ridge Culinary Trail is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.53 USD. Recommended visit: 3 hours. Discover Emerald Ridge Culinary Trail, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 09:00-17:30, entry 12.53 USD.",12.53,09:00-17:30,3 hours,3.7,"621 Sakura Street, Chuo Ward, Sarasota",27.37999074820013,-82.54771660931333,"['solo women', 'couples trip', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas']"
8,Sarasota,United States,Nature/Scenery/Park,Sarasota Scenic Skyline Explorer Pass,"Sarasota Scenic Skyline Explorer Pass is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.17 USD. Recommended visit: 3 hours. Discover Sarasota Scenic Skyline Explorer Pass, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:30, entry 6.17 USD.",6.17,08:30-17:30,3 hours,3.7,"No. 456, Xuefu Road, Sarasota",27.37225187650676,-82.55386684798789,"['solo women', 'with pets', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'scenic spots', 'sunset cruises', 'special couples experiences']"
9,Sarasota,United States,Nature/Scenery/Park,Tidal Haven Grove,"Tidal Haven Grove is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Tidal Haven Grove, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 09:00-18:00, entry 51.08 USD.",51.08,09:00-18:00,3 hours,3.7,"874 Seimei-dori, Naka-ku, Sarasota",27.341649777797315,-82.50508497022521,"['couples trip', 'luxury travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'private tours', 'skip the line passes', 'VIP exclusive events', 'High speed WiFi']"
10,Sarasota,United States,Nature/Scenery/Park,Sunrise Explorers' Grove,"Sunrise Explorers' Grove is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 11.05 USD. Recommended visit: 3 hours. Discover Sunrise Explorers' Grove, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:30, entry 11.05 USD.",11.05,08:30-17:30,3 hours,3.7,"517 Nishi 1-chome, Sarasota",27.32029274666475,-82.54047797055756,"['nightlife enthusiast', 'solo women', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'wheelchair rental', 'benches/rest areas']"
11,Sarasota,United States,Nature/Scenery/Park,Sarasota Bay Shellwalk Trail,"Sarasota Bay Shellwalk Trail is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Sarasota Bay Shellwalk Trail, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 09:00-17:30, entry 6.44 USD.",6.44,09:00-17:30,3 hours,3.7,"219 Shuri Street, Sarasota",27.349902221260667,-82.48601489957211,['with pets'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
12,Sarasota,United States,Nature/Scenery/Park,Sarasota Evergreen Escape,"Sarasota Evergreen Escape is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 9.8 USD. Recommended visit: 3 hours. Discover Sarasota Evergreen Escape, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:00, entry 9.8 USD.",9.8,08:30-17:00,3 hours,3.7,"929 Suthep Road, Sarasota",27.293738448762586,-82.52759660569343,"['with pets', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
13,Sarasota,United States,Nature/Scenery/Park,Crystal Bay Thermal Sanctuary,"Crystal Bay Thermal Sanctuary is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Crystal Bay Thermal Sanctuary, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 19:00-23:00, entry 33.27 USD.",33.27,19:00-23:00,3 hours,3.7,"591 Shirokane Street, Sarasota",27.34281400723806,-82.51068719473334,"['solo women', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
14,Sarasota,United States,Nature/Scenery/Park,Sunrise Overlook Trail,"Sunrise Overlook Trail is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Sunrise Overlook Trail, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 09:00-18:00, entry 17.5 USD.",17.5,09:00-18:00,3 hours,3.7,"338-456 Shinjuku 1-chome, Sarasota",27.342158734416,-82.51523996747267,"['couples trip', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
15,Sarasota,United States,Nature/Scenery/Park,Sarasota Green Haven,"Sarasota Green Haven is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Sarasota Green Haven, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:30-17:30, entry 1.4 USD.",1.4,08:30-17:30,3 hours,3.7,"No. 1234 Panda Avenue, Sarasota",27.361650843256047,-82.53447904721605,"['couples trip', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
16,Sarasota,United States,Nature/Scenery/Park,Sunrise Bay Carousel Trail,"Sunrise Bay Carousel Trail is a nature in Sarasota, United States, popular for its natural scenery and relaxing atmosphere. Entry fee is 2059.2 USD. Recommended visit: 3 hours. Discover Sunrise Bay Carousel Trail, a peaceful nature in Sarasota, United States, ideal for nature lovers. Open 08:00-17:30, entry 2059.2 USD.",2059.2,08:00-17:30,3 hours,3.7,"No. 15 Zhongguancun Street, Sarasota",27.340377585766674,-82.52831784891421,"['with pets', 'solo women', 'photography']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations']"
