attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Geneva,Switzerland,Nature/Scenery/Park,Lac des Oiseaux Reserve,"Lac des Oiseaux Reserve is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 51.08 USD. Recommended visit: 3 hours. Discover Lac des Oiseaux Reserve, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:00-17:30, entry 51.08 USD.",51.08,09:00-17:30,3 hours,3.7,"156 East Riverside Avenue, Geneva",46.18250728149203,6.1545684525935975,"['nightlife enthusiast', 'with pets', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Pet-friendly', 'pet water stations', 'Pet rest area', 'parking']"
2,Geneva,Switzerland,Nature/Scenery/Park,Lac des Oiseaux Discovery Trail,"Lac des Oiseaux Discovery Trail is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Lac des Oiseaux Discovery Trail, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:00-17:00, entry 6.39 USD.",6.39,09:00-17:00,3 hours,3.7,"376 Seaside Promenade, Geneva",46.21170996759289,6.126899255165685,"['with children', 'solo women', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events']"
3,Geneva,Switzerland,Nature/Scenery/Park,Alpine Haven Sanctuary,"Alpine Haven Sanctuary is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 26.32 USD. Recommended visit: 3 hours. Discover Alpine Haven Sanctuary, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:00-17:30, entry 26.32 USD.",26.32,09:00-17:30,3 hours,3.7,"561 Seaside Promenade, Hakata-ku, Geneva",46.2122787187549,6.128840933658284,"['photography', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
4,Geneva,Switzerland,Nature/Scenery/Park,Lac des Monts Élémentaux,"Lac des Monts Élémentaux is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.65 USD. Recommended visit: 3 hours. Discover Lac des Monts Élémentaux, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:00-21:00, entry 8.65 USD.",8.65,09:00-21:00,3 hours,3.7,"885 Sakura Street, Naka Ward, Geneva",46.19168869788408,6.142257936046598,['nightlife enthusiast'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows']"
5,Geneva,Switzerland,Nature/Scenery/Park,Luminous Lake Passage,"Luminous Lake Passage is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Luminous Lake Passage, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:00-18:00, entry 10.5 USD.",10.5,09:00-18:00,3 hours,3.7,"No. 125, Xujiahui Road, Geneva",46.21539141845301,6.134667254131084,"['nightlife enthusiast', 'with children', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'Nursing facilities', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Geneva,Switzerland,Nature/Scenery/Park,Verdant Heights Reserve,"Verdant Heights Reserve is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.44 USD. Recommended visit: 3 hours. Discover Verdant Heights Reserve, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 08:30-17:30, entry 6.44 USD.",6.44,08:30-17:30,3 hours,3.7,"500 Beach Road, Geneva",46.19988786521866,6.173602853320352,"['luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
7,Geneva,Switzerland,Nature/Scenery/Park,Verdant Ridge Eatscape,"Verdant Ridge Eatscape is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 29.53 USD. Recommended visit: 3 hours. Discover Verdant Ridge Eatscape, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:00-17:30, entry 29.53 USD.",29.53,09:00-17:30,3 hours,3.7,"784 Seaside Promenade, Geneva",46.19100312441791,6.148660451996706,"['fast-paced budget travel', 'elderly travelers', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'wheelchair rental', 'benches/rest areas', 'High speed WiFi']"
8,Geneva,Switzerland,Nature/Scenery/Park,Lac des Oiseaux Express Pass + Mont Bellerive Skyway Round Trip + La Tournette Forest Trail,"Lac des Oiseaux Express Pass + Mont Bellerive Skyway Round Trip + La Tournette Forest Trail is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 19.18 USD. Recommended visit: 3 hours. Discover Lac des Oiseaux Express Pass + Mont Bellerive Skyway Round Trip + La Tournette Forest Trail, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 09:30-17:00, entry 19.18 USD.",19.18,09:30-17:00,3 hours,3.7,"906-1-1 Nakanoshima, Kita-ku, Geneva",46.20023271011977,6.132452537082712,"['nightlife enthusiast', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'group tours', 'security', 'Food markets', 'tasting tours']"
9,Geneva,Switzerland,Nature/Scenery/Park,Lac Clair Promenade,"Lac Clair Promenade is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Lac Clair Promenade, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 08:30-17:00, entry 8.12 USD.",8.12,08:30-17:00,3 hours,3.7,"170 Gwangnangno, Nowon-gu, Geneva",46.22637696171295,6.141940580169951,['road trip'],"['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'parking']"
10,Geneva,Switzerland,Nature/Scenery/Park,Lumière Wildspace,"Lumière Wildspace is a nature in Geneva, Switzerland, popular for its natural scenery and relaxing atmosphere. Entry fee is 24.24 USD. Recommended visit: 3 hours. Discover Lumière Wildspace, a peaceful nature in Geneva, Switzerland, ideal for nature lovers. Open 08:00-20:00, entry 24.24 USD.",24.24,08:00-20:00,3 hours,3.7,"433 Sakura Street, Naka Ward, Geneva",46.192898199892944,6.162660269471041,"['with children', 'couples trip', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'scenic spots', 'sunset cruises', 'special couples experiences', 'High speed WiFi']"
