attraction_id,city_name,country,type,attraction_name,overview,ticket_price,open_hours,duration_of_visit,rate_of_restaurant,address,latitude,longitude,facilities_group,facilities
1,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Lagoon Serenity Reserve,"Lagoon Serenity Reserve is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.5 USD. Recommended visit: 3 hours. Discover Lagoon Serenity Reserve, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 08:00-20:00, entry 10.5 USD.",10.5,08:00-20:00,3 hours,3.7,"No. 456, Zhongshan Road, Pointe-à-Pitre",16.362256842279248,-61.424117121579776,"['nightlife enthusiast', 'couples trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences']"
2,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Verdant Vale Nature Walk,"Verdant Vale Nature Walk is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 5.6 USD. Recommended visit: 3 hours. Discover Verdant Vale Nature Walk, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 08:30-17:30, entry 5.6 USD.",5.6,08:30-17:30,3 hours,3.7,"158 Chatham Road, Pointe-à-Pitre",16.2865040741926,-61.414084739139135,"['with children', 'foodie', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'Food markets', 'tasting tours', 'parking']"
3,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Verdant Haven Sanctuary,"Verdant Haven Sanctuary is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.35 USD. Recommended visit: 3 hours. Discover Verdant Haven Sanctuary, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 10:00-22:00, entry 7.35 USD.",7.35,10:00-22:00,3 hours,3.7,"272 Siam Road, Pointe-à-Pitre",16.233002077996527,-61.383541266324286,"['with children', 'photography', 'elderly travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']"
4,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Lacrima Bay Walk,"Lacrima Bay Walk is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.27 USD. Recommended visit: 3 hours. Discover Lacrima Bay Walk, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 08:30-17:00, entry 33.27 USD.",33.27,08:30-17:00,3 hours,3.7,"No. 456, Riverside Avenue, Pointe-à-Pitre",16.26649532195941,-61.43679080722704,"['fast-paced budget travel', 'solo women', 'foodie']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Food markets', 'tasting tours']"
5,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Moonlit Bay Voyage,"Moonlit Bay Voyage is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 55.55 USD. Recommended visit: 3 hours. Discover Moonlit Bay Voyage, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 09:30-17:00, entry 55.55 USD.",55.55,09:30-17:00,3 hours,3.7,"992 Sakura Street, Naka Ward, Pointe-à-Pitre",16.286966692022414,-61.507352677747406,"['fast-paced budget travel', 'solo women', 'luxury travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'private tours', 'skip the line passes', 'VIP exclusive events']"
6,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Verdant Haven Trail,"Verdant Haven Trail is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 7.7 USD. Recommended visit: 3 hours. Discover Verdant Haven Trail, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 08:30-20:00, entry 7.7 USD.",7.7,08:30-20:00,3 hours,3.7,"No. 456 Cultural Square, Pointe-à-Pitre",16.345287138664915,-61.46877309004852,"['photography', 'disabled traveler', 'business travelers']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'photo spots', 'guided photo tours', 'charging stations', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'High speed WiFi']"
7,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Verdant Vista Eco-Resort,"Verdant Vista Eco-Resort is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 8.12 USD. Recommended visit: 3 hours. Discover Verdant Vista Eco-Resort, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 08:00-17:30, entry 8.12 USD.",8.12,08:00-17:30,3 hours,3.7,"862-876 Nishi 1-chome, Pointe-à-Pitre",16.285595122934627,-61.49758637193617,"['nightlife enthusiast', 'foodie', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'Food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
8,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Caribbea Express Pass + Montagne du Soleil Skyline Ride + La Plaine Nature Reserve,"Caribbea Express Pass + Montagne du Soleil Skyline Ride + La Plaine Nature Reserve is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.39 USD. Recommended visit: 3 hours. Discover Caribbea Express Pass + Montagne du Soleil Skyline Ride + La Plaine Nature Reserve, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 18:00-21:00, entry 6.39 USD.",6.39,18:00-21:00,3 hours,3.7,"862 Sakura Street, Pointe-à-Pitre",16.481918014252173,-61.49887540504238,"['nightlife enthusiast', 'luxury travelers', 'disabled traveler']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'private tours', 'skip the line passes', 'VIP exclusive events', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']"
9,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Azure Horizon Trail,"Azure Horizon Trail is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 17.5 USD. Recommended visit: 3 hours. Discover Azure Horizon Trail, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 08:30-17:30, entry 17.5 USD.",17.5,08:30-17:30,3 hours,3.7,"333-789 Shinkocho, Pointe-à-Pitre",16.281605095700566,-61.37552277279697,"['with children', 'elderly travelers', 'road trip']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'family restrooms', 'Nursing facilities', 'wheelchair rental', 'benches/rest areas', 'parking']"
10,Pointe-à-Pitre,Guadeloupe,Nature/Scenery/Park,Lagoon Leap Playgrounds,"Lagoon Leap Playgrounds is a nature in Pointe-à-Pitre, Guadeloupe, popular for its natural scenery and relaxing atmosphere. Entry fee is 31.52 USD. Recommended visit: 3 hours. Discover Lagoon Leap Playgrounds, a peaceful nature in Pointe-à-Pitre, Guadeloupe, ideal for nature lovers. Open 09:00-17:30, entry 31.52 USD.",31.52,09:00-17:30,3 hours,3.7,"135-8521, 3-11-18 Nishi-Shinjuku, Shinjuku City, Pointe-à-Pitre",16.249914762293525,-61.34733933791887,"['fast-paced budget travel', 'solo women', 'with pets']","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'luggage storage', 'self-guided tours', 'group tours', 'security', 'Pet-friendly', 'pet water stations', 'Pet rest area']"
