attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Chengdu,Chengdu Giant Panda Breedingand Research Center,"No. 1234 Panda Avenue, Chengdu Hi- Tech Development Zone",104.20286,30.525546,08:30-17:30,53.2,"Chengdu Giant Panda Breedingand Research Center is a theme park in Chengdu, China, popular for its memorable experiences. Entry fee is 53.2 USD. Recommended visit: 8 hours. Discover Chengdu Giant Panda Breedingand Research Center, a notable theme park in Chengdu, China, ideal for visitors. Open 08:30-17:30, entry 53.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Elderly Travelers', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Photography']",China
2,Chengdu,Dujiangyan Cultural Park,"No. 567, Yucheng Road, Chengdu High- tech Development Zone",104.201214,30.798774,08:30-17:30,12.32,"Dujiangyan Cultural Park is a nature in Chengdu, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Dujiangyan Cultural Park, a peaceful nature in Chengdu, China, ideal for nature lovers. Open 08:30-17:30, entry 12.32 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",China
3,Chengdu,Du Fu's Riverside Retreat,"No. 456, West Lake Road, Chengdu",104.05535,30.565503,08:30-17:00,4.2,"Du Fu's Riverside Retreat is a historic site in Chengdu, China, popular for its memorable experiences. Entry fee is 4.2 USD. Recommended visit: 2 hours. Discover Du Fu's Riverside Retreat, a notable historic site in Chengdu, China, ideal for visitors. Open 08:30-17:00, entry 4.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'high speed WiFi']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie']",China
4,Chengdu,Wuhou Temple Park,"No. 128, Wuhou Road, Chengdu High- Tech Development Zone",104.103172,30.549719,08:30-17:30,16.66,"Wuhou Temple Park is a historic site in Chengdu, China, popular for its memorable experiences. Entry fee is 16.66 USD. Recommended visit: 2 hours. Discover Wuhou Temple Park, a notable historic site in Chengdu, China, ideal for visitors. Open 08:30-17:30, entry 16.66 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'parking', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Elderly Travelers', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'foodie']",China
5,Chengdu,Green Hill Retreat,"No. 456, West Mountain Road, Chengdu",104.227713,30.833688,08:30-17:30,1.4,"Green Hill Retreat is a nature in Chengdu, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.4 USD. Recommended visit: 3 hours. Discover Green Hill Retreat, a peaceful nature in Chengdu, China, ideal for nature lovers. Open 08:30-17:30, entry 1.4 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']",Nature/Scenery/Park,3 hours,3.7,"['Nightlife Enthusiast', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie']",China
6,Chengdu,Chengdu Panda Viewing Spot,"No. 456 Green Valley Road, Chengdu",104.22881,30.831971,08:30-17:00,10.22,"Chengdu Panda Viewing Spot is a nature in Chengdu, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 10.22 USD. Recommended visit: 3 hours. Discover Chengdu Panda Viewing Spot, a peaceful nature in Chengdu, China, ideal for nature lovers. Open 08:30-17:00, entry 10.22 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Elderly Travelers', 'Disabled Travelers', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",China
7,Chengdu,Jinsha Cultural Park,"No. 188, Yipin Road, Chengdu High- tech Development Zone",104.009312,30.799571,09:00-18:00,7.0,"Jinsha Cultural Park is a museum in Chengdu, China, popular for its unique collections and exhibitions. Entry fee is 7.0 USD. Recommended visit: 2 hours. Discover Jinsha Cultural Park, a renowned museum in Chengdu, China, ideal for art lovers. Open 09:00-18:00, entry 7.0 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'high speed WiFi']",Museum/Art Gallery,2 hours,4.0,"['Fast-Paced Budget Travel', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie']",China
8,Chengdu,Wenshu Lane,"No. 88, Zhongshan Road, Chengdu",104.056625,30.893219,09:00-21:00,10.92,"Wenshu Lane is a historic site in Chengdu, China, popular for its memorable experiences. Entry fee is 10.92 USD. Recommended visit: 2 hours. Discover Wenshu Lane, a notable historic site in Chengdu, China, ideal for visitors. Open 09:00-21:00, entry 10.92 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'Photography']",China
9,Chengdu,Liyuan Heritage Cultural Hall Traditional Sichuan Opera Face Change Performances,"No. 456 Wenshu Road, Chengdu",104.005903,30.774844,10:00-18:30,4.2,"Liyuan Heritage Cultural Hall Traditional Sichuan Opera Face Change Performances is a historic site in Chengdu, China, popular for its memorable experiences. Entry fee is 4.2 USD. Recommended visit: 2 hours. Discover Liyuan Heritage Cultural Hall Traditional Sichuan Opera Face Change Performances, a notable historic site in Chengdu, China, ideal for visitors. Open 10:00-18:30, entry 4.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Pet Owners', 'Disabled Travelers', 'couples trip', 'foodie']",China
10,Chengdu,Panda Grove Park,"No. 456, Green Valley Road, Chengdu High- tech Development Zone",104.13404,30.480324,08:30-17:30,12.32,"Panda Grove Park is a nature in Chengdu, China, popular for its natural scenery and relaxing atmosphere. Entry fee is 12.32 USD. Recommended visit: 3 hours. Discover Panda Grove Park, a peaceful nature in Chengdu, China, ideal for nature lovers. Open 08:30-17:30, entry 12.32 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Photography']",China
