attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Nagoya,Nagoya Marine Discovery Center,"204 Kaminokawa Street, Nagoya",137.089963,35.059397,09:30-17:00,25.58,"Nagoya Marine Discovery Center is a museum in Nagoya, Japan, popular for its unique collections and exhibitions. Entry fee is 25.58 USD. Recommended visit: 2 hours. Discover Nagoya Marine Discovery Center, a renowned museum in Nagoya, Japan, ideal for art lovers. Open 09:30-17:00, entry 25.58 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Museum/Art Gallery,2 hours,4.0,"['Pet Owners', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",Japan
2,Nagoya,Ghibli World Adventure Bus Tour,"971 Sakura Street, Naka-ku, Nagoya",136.950285,35.220933,09:00-17:30,33.83,"Ghibli World Adventure Bus Tour is a theme park in Nagoya, Japan, popular for its memorable experiences. Entry fee is 33.83 USD. Recommended visit: 8 hours. Discover Ghibli World Adventure Bus Tour, a notable theme park in Nagoya, Japan, ideal for visitors. Open 09:00-17:30, entry 33.83 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'family restrooms', 'nursing facilities', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Solo Woman Travelers', 'Luxury Travelers']",Japan
3,Nagoya,VS PARK LaLaport Aichi Togo Experience,"471 Sakura Street, Nagoya",136.837579,35.255017,10:00-21:00,5.26,"VS PARK LaLaport Aichi Togo Experience is a theme park in Nagoya, Japan, popular for its memorable experiences. Entry fee is 5.26 USD. Recommended visit: 6 hours. Discover VS PARK LaLaport Aichi Togo Experience, a notable theme park in Nagoya, Japan, ideal for visitors. Open 10:00-21:00, entry 5.26 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'family restrooms', 'nursing facilities', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,6 hours,3.75,"['Family with children', 'Elderly Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'Photography']",Japan
4,Nagoya,Legoland Japan Adventure Park,"717 Sakura Street, Nagoya",136.965138,35.185081,09:00-17:30,37.8,"Legoland Japan Adventure Park is a theme park in Nagoya, Japan, popular for its memorable experiences. Entry fee is 37.8 USD. Recommended visit: 8 hours. Discover Legoland Japan Adventure Park, a notable theme park in Nagoya, Japan, ideal for visitors. Open 09:00-17:30, entry 37.8 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Pet Owners', 'Disabled Travelers', 'Luxury Travelers', 'Photography']",Japan
5,Nagoya,Nagoya Family Adventure Park,"526 Sakura Street, Nagoya",136.853368,35.117918,09:00-17:30,6.47,"Nagoya Family Adventure Park is a theme park in Nagoya, Japan, popular for its memorable experiences. Entry fee is 6.47 USD. Recommended visit: 6 hours. Discover Nagoya Family Adventure Park, a notable theme park in Nagoya, Japan, ideal for visitors. Open 09:00-17:30, entry 6.47 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,6 hours,3.75,"['Pet Owners', 'Nightlife Enthusiast', 'couples trip', 'Luxury Travelers', 'Photography']",Japan
6,Nagoya,Inuyama Castle and Meiji-Mura Museum Complex,"679 Shinkawa Street, Naka Ward, Nagoya",136.896085,35.087461,09:00-17:00,32.11,"Inuyama Castle and Meiji-Mura Museum Complex is a historic site in Nagoya, Japan, popular for its memorable experiences. Entry fee is 32.11 USD. Recommended visit: 2 hours. Discover Inuyama Castle and Meiji-Mura Museum Complex, a notable historic site in Nagoya, Japan, ideal for visitors. Open 09:00-17:00, entry 32.11 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'parking', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Elderly Travelers', 'Pet Owners', 'Fast-Paced Budget Travel', 'foodie']",Japan
7,Nagoya,Aichi 2025 International Art Showcase Contemporary Gallery,"841 Sakura Street, Naka-ku, Nagoya",136.987971,35.123494,10:00-17:00,1.89,"Aichi 2025 International Art Showcase Contemporary Gallery is a museum in Nagoya, Japan, popular for its unique collections and exhibitions. Entry fee is 1.89 USD. Recommended visit: 2 hours. Discover Aichi 2025 International Art Showcase Contemporary Gallery, a renowned museum in Nagoya, Japan, ideal for art lovers. Open 10:00-17:00, entry 1.89 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'group tours', 'security', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'photo spots', 'guided photo tours', 'charging stations']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Pet Owners', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'foodie', 'Photography']",Japan
8,Nagoya,Nagoya Grand Sumo Viewing Experience,"938 Sumo Street, Nakamura Ward, Nagoya",136.91874,35.14224,10:00-17:00,15.41,"Nagoya Grand Sumo Viewing Experience is a historic site in Nagoya, Japan, popular for its memorable experiences. Entry fee is 15.41 USD. Recommended visit: 2 hours. Discover Nagoya Grand Sumo Viewing Experience, a notable historic site in Nagoya, Japan, ideal for visitors. Open 10:00-17:00, entry 15.41 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'food markets', 'tasting tours', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Disabled Travelers', 'Solo Woman Travelers', 'Luxury Travelers', 'foodie', 'Photography']",Japan
9,Nagoya,Nagoya Explorer Pass 2-day | E-Access,"100 Sakura Street, Naka Ward, Nagoya",136.800741,35.261726,08:30-17:00,27.86,"Nagoya Explorer Pass 2-day | E-Access is a theme park in Nagoya, Japan, popular for its memorable experiences. Entry fee is 27.86 USD. Recommended visit: 8 hours. Discover Nagoya Explorer Pass 2-day | E-Access, a notable theme park in Nagoya, Japan, ideal for visitors. Open 08:30-17:00, entry 27.86 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'group tours', 'security', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'couples trip', 'Solo Woman Travelers', 'foodie']",Japan
10,Nagoya,Nagoya Skyview Tower,"454 Sakura Street, Nakamura-ku, Nagoya",136.965021,35.216747,09:00-18:00,49.92,"Nagoya Skyview Tower is a historic site in Nagoya, Japan, popular for its memorable experiences. Entry fee is 49.92 USD. Recommended visit: 2 hours. Discover Nagoya Skyview Tower, a notable historic site in Nagoya, Japan, ideal for visitors. Open 09:00-18:00, entry 49.92 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'group tours', 'security', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Pet Owners', 'Fast-Paced Budget Travel', 'Solo Woman Travelers']",Japan
