attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Fukuoka,Oceanic Adventure Uminonakamichi,"755 Seaside Promenade, Fukuoka",130.386994,33.653421,09:00-17:30,14.6,"Oceanic Adventure Uminonakamichi is a nature in Fukuoka, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 14.6 USD. Recommended visit: 3 hours. Discover Oceanic Adventure Uminonakamichi, a peaceful nature in Fukuoka, Japan, ideal for nature lovers. Open 09:00-17:30, entry 14.6 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Pet Owners', 'Fast-Paced Budget Travel', 'couples trip', 'Luxury Travelers', 'foodie']",Japan
2,Fukuoka,Fukuoka Skyview Experience,"975 Sakura Street, Chuo Ward, Fukuoka",130.334764,33.624749,09:00-18:00,33.53,"Fukuoka Skyview Experience is a nature in Fukuoka, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 33.53 USD. Recommended visit: 3 hours. Discover Fukuoka Skyview Experience, a peaceful nature in Fukuoka, Japan, ideal for nature lovers. Open 09:00-18:00, entry 33.53 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'scenic spots', 'sunset cruises', 'special couples experiences', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Nature/Scenery/Park,3 hours,3.7,"['Nightlife Enthusiast', 'couples trip', 'Solo Woman Travelers', 'foodie', 'Photography']",Japan
3,Fukuoka,teamLab Grove Fukuoka: Digital Art Sanctuary,"386 Seifuku Street, Chuo-ku, Fukuoka",130.291142,33.612693,10:00-21:00,6.09,"teamLab Grove Fukuoka: Digital Art Sanctuary is a museum in Fukuoka, Japan, popular for its unique collections and exhibitions. Entry fee is 6.09 USD. Recommended visit: 2 hours. Discover teamLab Grove Fukuoka: Digital Art Sanctuary, a renowned museum in Fukuoka, Japan, ideal for art lovers. Open 10:00-21:00, entry 6.09 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Road trip', 'Elderly Travelers', 'Fast-Paced Budget Travel', 'couples trip', 'Photography']",Japan
4,Fukuoka,Teamlab Forest Experience in Fukuoka,"520 Sakura Street, Chuo Ward, Fukuoka",130.325235,33.471334,10:00-21:00,38.89,"Teamlab Forest Experience in Fukuoka is a museum in Fukuoka, Japan, popular for its unique collections and exhibitions. Entry fee is 38.89 USD. Recommended visit: 2 hours. Discover Teamlab Forest Experience in Fukuoka, a renowned museum in Fukuoka, Japan, ideal for art lovers. Open 10:00-21:00, entry 38.89 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Elderly Travelers', 'Pet Owners', 'couples trip', 'Luxury Travelers', 'Photography']",Japan
5,Fukuoka,Kyushu Cultural Heritage Center,"314 Sakura Street, Fukuoka",130.399578,33.708238,09:00-17:30,3.94,"Kyushu Cultural Heritage Center is a historic site in Fukuoka, Japan, popular for its memorable experiences. Entry fee is 3.94 USD. Recommended visit: 2 hours. Discover Kyushu Cultural Heritage Center, a notable historic site in Fukuoka, Japan, ideal for visitors. Open 09:00-17:30, entry 3.94 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'parking']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Pet Owners', 'Nightlife Enthusiast', 'Fast-Paced Budget Travel', 'couples trip']",Japan
6,Fukuoka,Sanrio Characters Dreamland Park,"578 Sakura Street, Fukuoka",130.419465,33.547676,10:00-19:00,22.05,"Sanrio Characters Dreamland Park is a theme park in Fukuoka, Japan, popular for its memorable experiences. Entry fee is 22.05 USD. Recommended visit: 7 hours. Discover Sanrio Characters Dreamland Park, a notable theme park in Fukuoka, Japan, ideal for visitors. Open 10:00-19:00, entry 22.05 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Theme Park/Amusement Park,7 hours,3.75,"['Road trip', 'Disabled Travelers', 'couples trip', 'Solo Woman Travelers', 'Photography']",Japan
7,Fukuoka,BOSS E ZO FUKUOKA Adventure Hub,"117 Shinko Street, Chuo Ward, Fukuoka",130.231681,33.663439,10:00-21:00,34.59,"BOSS E ZO FUKUOKA Adventure Hub is a theme park in Fukuoka, Japan, popular for its memorable experiences. Entry fee is 34.59 USD. Recommended visit: 8 hours. Discover BOSS E ZO FUKUOKA Adventure Hub, a notable theme park in Fukuoka, Japan, ideal for visitors. Open 10:00-21:00, entry 34.59 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'food markets', 'tasting tours', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Elderly Travelers', 'Pet Owners', 'Disabled Travelers', 'foodie']",Japan
8,Fukuoka,VS Park with G LaLaport Fukuoka,"640 Shinkawa Street, Fukuoka",130.325935,33.621352,10:00-21:00,28.77,"VS Park with G LaLaport Fukuoka is a theme park in Fukuoka, Japan, popular for its memorable experiences. Entry fee is 28.77 USD. Recommended visit: 8 hours. Discover VS Park with G LaLaport Fukuoka, a notable theme park in Fukuoka, Japan, ideal for visitors. Open 10:00-21:00, entry 28.77 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas']",Theme Park/Amusement Park,8 hours,3.75,"['Family with children', 'Elderly Travelers', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'couples trip', 'foodie']",Japan
9,Fukuoka,Fukuoka Sky View Tower,"897 Sakura Street, Chuo Ward, Fukuoka",130.186807,33.665525,09:00-18:00,2.62,"Fukuoka Sky View Tower is a historic site in Fukuoka, Japan, popular for its memorable experiences. Entry fee is 2.62 USD. Recommended visit: 2 hours. Discover Fukuoka Sky View Tower, a notable historic site in Fukuoka, Japan, ideal for visitors. Open 09:00-18:00, entry 2.62 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'night markets', 'bars', 'evening shows', 'family restrooms', 'nursing facilities', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Family with children', 'Road trip', 'Elderly Travelers', 'Nightlife Enthusiast', 'Photography']",Japan
10,Fukuoka,"Kyushu Itoshima｜Shiraito Falls, Raizan Senjoji Temple, Ichiran Ramen Forest, Sakurai Futamigaura, Meotoiwa One-Day Tour｜Depart from Fukuoka","745 Sakura Street, Chuo Ward, Fukuoka",130.305061,33.485665,08:30-17:00,12.59,"Kyushu Itoshima｜Shiraito Falls, Raizan Senjoji Temple, Ichiran Ramen Forest, Sakurai Futamigaura, Meotoiwa One-Day Tour｜Depart from Fukuoka is a historic site in Fukuoka, Japan, popular for its memorable experiences. Entry fee is 12.59 USD. Recommended visit: 2 hours. Discover Kyushu Itoshima｜Shiraito Falls, Raizan Senjoji Temple, Ichiran Ramen Forest, Sakurai Futamigaura, Meotoiwa One-Day Tour｜Depart from Fukuoka, a notable historic site in Fukuoka, Japan, ideal for visitors. Open 08:30-17:00, entry 12.59 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'scenic spots', 'sunset cruises', 'special couples experiences', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Elderly Travelers', 'Pet Owners', 'couples trip', 'Solo Woman Travelers', 'Luxury Travelers', 'Photography']",Japan
