attraction_id,city_name,attraction_name,address,longitude,latitude,open_hours,ticket_price,overview,facilities,type,duration_of_visit,rate_of_restaurant,facilities_group,country
1,Okinawa,Okinawa Blue Ocean Marine Center,"629 Seaside Promenade, Okinawa",127.88669,26.372529,09:00-17:30,6.35,"Okinawa Blue Ocean Marine Center is a nature in Okinawa, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 6.35 USD. Recommended visit: 3 hours. Discover Okinawa Blue Ocean Marine Center, a peaceful nature in Okinawa, Japan, ideal for nature lovers. Open 09:00-17:30, entry 6.35 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Pet Owners', 'Disabled Travelers', 'Luxury Travelers', 'foodie']",Japan
2,Okinawa,Okinawa Wildlife & Cultural Hub,"871 Seaside Avenue, Okinawa",127.702606,26.528458,09:00-17:30,8.5,"Okinawa Wildlife & Cultural Hub is a museum in Okinawa, Japan, popular for its unique collections and exhibitions. Entry fee is 8.5 USD. Recommended visit: 2 hours. Discover Okinawa Wildlife & Cultural Hub, a renowned museum in Okinawa, Japan, ideal for art lovers. Open 09:00-17:30, entry 8.5 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'family restrooms', 'nursing facilities', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Elderly Travelers', 'Fast-Paced Budget Travel', 'Luxury Travelers', 'Photography']",Japan
3,Okinawa,Okinawa Ryukyu Cultural Park,"317-8901 Shuri-cho, Okinawa",127.773667,26.543026,09:00-17:30,447.25,"Okinawa Ryukyu Cultural Park is a historic site in Okinawa, Japan, popular for its memorable experiences. Entry fee is 447.25 USD. Recommended visit: 2 hours. Discover Okinawa Ryukyu Cultural Park, a notable historic site in Okinawa, Japan, ideal for visitors. Open 09:00-17:30, entry 447.25 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Nightlife Enthusiast', 'foodie', 'Photography']",Japan
4,Okinawa,Neo Green Oasis Okinawa,"356 Seaside Promenade, Okinawa",127.635615,26.404676,09:00-17:30,315.2,"Neo Green Oasis Okinawa is a nature in Okinawa, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 315.2 USD. Recommended visit: 3 hours. Discover Neo Green Oasis Okinawa, a peaceful nature in Okinawa, Japan, ideal for nature lovers. Open 09:00-17:30, entry 315.2 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'private tours', 'skip the line passes', 'VIP exclusive events', 'scenic spots', 'sunset cruises', 'special couples experiences', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'wheelchair rental', 'benches/rest areas']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Elderly Travelers', 'Pet Owners', 'Disabled Travelers', 'couples trip', 'Luxury Travelers']",Japan
5,Okinawa,Okinawa Ocean Experience｜Churaumi Aquarium＋Optional Combo Pass｜Okinawa Fun Pass,"251-8901 Shuri-cho, Okinawa City",127.855569,26.583123,09:00-17:30,160.42,"Okinawa Ocean Experience｜Churaumi Aquarium＋Optional Combo Pass｜Okinawa Fun Pass is a museum in Okinawa, Japan, popular for its unique collections and exhibitions. Entry fee is 160.42 USD. Recommended visit: 2 hours. Discover Okinawa Ocean Experience｜Churaumi Aquarium＋Optional Combo Pass｜Okinawa Fun Pass, a renowned museum in Okinawa, Japan, ideal for art lovers. Open 09:00-17:30, entry 160.42 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'city passes', 'self-guided tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'family restrooms', 'nursing facilities', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Museum/Art Gallery,2 hours,4.0,"['Family with children', 'Road trip', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'couples trip']",Japan
6,Okinawa,Churaumi Cultural Pass / Okinawa Heritage 3 Pass,"101 Shuri Street, Okinawa City",127.629209,26.670935,09:00-17:30,8.16,"Churaumi Cultural Pass / Okinawa Heritage 3 Pass is a historic site in Okinawa, Japan, popular for its memorable experiences. Entry fee is 8.16 USD. Recommended visit: 2 hours. Discover Churaumi Cultural Pass / Okinawa Heritage 3 Pass, a notable historic site in Okinawa, Japan, ideal for visitors. Open 09:00-17:30, entry 8.16 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']",Historic Site/Landmark,2 hours,3.5,"['Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'couples trip', 'foodie']",Japan
7,Okinawa,Okinawa Subterranean War Museum,"268 Shuri Street, Okinawa",127.734655,26.431688,09:00-17:30,1.39,"Okinawa Subterranean War Museum is a historic site in Okinawa, Japan, popular for its memorable experiences. Entry fee is 1.39 USD. Recommended visit: 2 hours. Discover Okinawa Subterranean War Museum, a notable historic site in Okinawa, Japan, ideal for visitors. Open 09:00-17:30, entry 1.39 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'group tours', 'security', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'high speed WiFi', 'photo spots', 'guided photo tours', 'charging stations']",Historic Site/Landmark,2 hours,3.5,"['Road trip', 'Nightlife Enthusiast', 'Solo Woman Travelers', 'foodie', 'Photography']",Japan
8,Okinawa,Okinawa Cultural Experience Hub,"881 Seaside Promenade, Okinawa",127.72463,26.115273,09:00-17:30,15.98,"Okinawa Cultural Experience Hub is a museum in Okinawa, Japan, popular for its unique collections and exhibitions. Entry fee is 15.98 USD. Recommended visit: 2 hours. Discover Okinawa Cultural Experience Hub, a renowned museum in Okinawa, Japan, ideal for art lovers. Open 09:00-17:30, entry 15.98 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'pet-friendly', 'pet water stations', 'pet rest area', 'city passes', 'self-guided tours', 'private tours', 'skip the line passes', 'VIP exclusive events', 'group tours', 'security', 'night markets', 'bars', 'evening shows', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms']",Museum/Art Gallery,2 hours,4.0,"['Pet Owners', 'Nightlife Enthusiast', 'Disabled Travelers', 'Fast-Paced Budget Travel', 'Solo Woman Travelers', 'Luxury Travelers']",Japan
9,Okinawa,Nago Tropical Fruit Garden,"937 Seaside Avenue, Okinawa",127.766021,26.740477,09:00-17:30,1.95,"Nago Tropical Fruit Garden is a nature in Okinawa, Japan, popular for its natural scenery and relaxing atmosphere. Entry fee is 1.95 USD. Recommended visit: 3 hours. Discover Nago Tropical Fruit Garden, a peaceful nature in Okinawa, Japan, ideal for nature lovers. Open 09:00-17:30, entry 1.95 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'private tours', 'skip the line passes', 'VIP exclusive events', 'food markets', 'tasting tours', 'night markets', 'bars', 'evening shows', 'parking', 'ramps', 'elevators', 'wheelchair rentals', 'accessible restrooms', 'high speed WiFi']",Nature/Scenery/Park,3 hours,3.7,"['Road trip', 'Nightlife Enthusiast', 'Disabled Travelers', 'Luxury Travelers', 'foodie']",Japan
10,Okinawa,Legacy of Maritime Defense Museum,"206 Shuri Street, Okinawa City",127.713798,26.3876,09:00-17:30,98.21,"Legacy of Maritime Defense Museum is a museum in Okinawa, Japan, popular for its unique collections and exhibitions. Entry fee is 98.21 USD. Recommended visit: 2 hours. Discover Legacy of Maritime Defense Museum, a renowned museum in Okinawa, Japan, ideal for art lovers. Open 09:00-17:30, entry 98.21 USD.","['Restrooms', 'Information Desk', 'Restaurant', 'Souvenir Shop', 'First Aid Station', 'Luggage Storage', 'food markets', 'tasting tours', 'scenic spots', 'sunset cruises', 'special couples experiences', 'night markets', 'bars', 'evening shows', 'parking', 'photo spots', 'guided photo tours', 'charging stations', 'wheelchair rental', 'benches/rest areas']",Museum/Art Gallery,2 hours,4.0,"['Road trip', 'Elderly Travelers', 'Nightlife Enthusiast', 'couples trip', 'foodie', 'Photography']",Japan
